date,open,high,low,close
1640995200,29993.81,29994.58,29993.04,29931.95
1640998800,29929.70,29930.10,29929.31,29907.29
1641002400,29915.99,29917.44,29914.55,30003.06
1641006000,29999.64,30000.00,29999.27,29965.47
1641009600,29964.73,29964.85,29964.61,29957.38
1641013200,29954.16,29954.52,29953.80,29921.90
1641016800,29926.50,29927.03,29925.97,29972.49
1641020400,29980.70,29981.63,29979.78,30062.85
1641024000,30075.19,30077.05,30073.33,30198.60
1641027600,30208.84,30210.34,30207.33,30311.29
1641031200,30299.60,30301.28,30297.93,30182.77
1641034800,30196.80,30198.91,30194.69,30337.11
1641038400,30350.20,30351.74,30348.66,30481.13
1641042000,30490.35,30492.03,30488.68,30582.68
1641045600,30580.68,30580.98,30580.39,30560.73
1641049200,30574.38,30576.52,30572.24,30710.92
1641052800,30723.55,30725.63,30721.47,30849.88
1641056400,30862.16,30864.49,30859.83,30984.98
1641060000,30983.51,30983.72,30983.31,30968.87
1641063600,30974.51,30975.45,30973.58,31030.99
1641067200,31028.81,31029.20,31028.42,31007.00
1641070800,31021.06,31023.39,31018.72,31161.75
1641074400,31159.83,31160.17,31159.50,31140.65
1641078000,31154.12,31156.67,31151.57,31288.90
1641081600,31298.83,31300.46,31297.20,31398.11
1641085200,31383.18,31385.36,31380.99,31233.93
1641088800,31228.45,31229.30,31227.60,31173.60
1641092400,31172.22,31172.50,31171.95,31158.41
1641096000,31145.08,31146.85,31143.32,31011.88
1641099600,31020.51,31021.61,31019.42,31106.82
1641103200,31100.94,31101.74,31100.14,31042.18
1641106800,31044.70,31045.14,31044.26,31069.96
1641110400,31059.24,31060.43,31058.05,30952.09
1641114000,30944.57,30945.82,30943.32,30869.31
1641117600,30880.04,30881.28,30878.79,30987.30
1641121200,30976.77,30978.39,30975.15,30871.55
1641124800,30876.32,30876.87,30875.78,30924.03
1641128400,30908.98,30911.60,30906.37,30758.54
1641132000,30773.49,30775.02,30771.96,30923.06
1641135600,30935.08,30937.13,30933.02,31055.24
1641139200,31065.56,31066.77,31064.35,31168.78
1641142800,31172.62,31173.36,31171.89,31211.11
1641146400,31199.07,31201.24,31196.90,31078.73
1641150000,31063.37,31066.02,31060.73,30909.86
1641153600,30895.64,30897.18,30894.09,30753.49
1641157200,30755.73,30756.07,30755.38,30778.12
1641160800,30764.55,30766.71,30762.39,30628.88
1641164400,30624.93,30625.43,30624.43,30585.44
1641168000,30585.82,30585.87,30585.77,30589.58
1641171600,30590.13,30590.21,30590.06,30595.65
1641175200,30597.72,30597.95,30597.48,30618.34
1641178800,30630.92,30632.47,30629.36,30756.70
1641182400,30757.79,30757.94,30757.65,30768.70
1641186000,30781.74,30783.53,30779.94,30912.18
1641189600,30901.75,30903.83,30899.68,30797.47
1641193200,30795.71,30795.99,30795.43,30778.13
1641196800,30793.19,30795.33,30791.06,30943.91
1641200400,30930.74,30932.32,30929.17,30799.11
1641204000,30795.22,30795.91,30794.53,30756.28
1641207600,30767.89,30770.14,30765.64,30884.01
1641211200,30876.80,30877.67,30875.93,30804.70
1641214800,30803.49,30803.63,30803.36,30791.41
1641218400,30786.53,30787.04,30786.02,30737.71
1641222000,30746.60,30747.82,30745.38,30835.49
1641225600,30837.46,30837.72,30837.21,30857.15
1641229200,30858.43,30858.65,30858.22,30871.31
1641232800,30880.55,30881.69,30879.41,30972.95
1641236400,30968.85,30969.55,30968.15,30927.85
1641240000,30929.45,30929.64,30929.26,30945.45
1641243600,30957.25,30959.10,30955.39,31075.23
1641247200,31072.98,31073.29,31072.67,31050.48
1641250800,31057.97,31059.41,31056.54,31132.93
1641254400,31130.33,31130.83,31129.83,31104.32
1641258000,31109.28,31110.12,31108.44,31158.84
1641261600,31161.50,31161.96,31161.04,31188.10
1641265200,31193.62,31194.35,31192.88,31248.76
1641268800,31241.83,31242.98,31240.68,31172.54
1641272400,31174.41,31174.68,31174.13,31193.10
1641276000,31190.45,31190.79,31190.11,31163.92
1641279600,31168.68,31169.52,31167.85,31216.27
1641283200,31231.38,31233.06,31229.71,31382.60
1641286800,31367.90,31370.23,31365.58,31221.03
1641290400,31215.49,31216.12,31214.87,31160.16
1641294000,31154.22,31155.04,31153.40,31094.82
1641297600,31087.87,31089.14,31086.59,31018.34
1641301200,31031.53,31033.22,31029.84,31163.45
1641304800,31173.88,31175.59,31172.16,31278.20
1641308400,31271.09,31272.29,31269.90,31200.02
1641312000,31194.87,31195.61,31194.12,31143.30
1641315600,31143.42,31143.44,31143.40,31144.63
1641319200,31154.80,31156.55,31153.06,31256.55
1641322800,31251.98,31252.48,31251.49,31206.29
1641326400,31212.38,31213.37,31211.38,31273.22
1641330000,31283.61,31284.73,31282.49,31387.51
1641333600,31375.89,31377.84,31373.94,31259.77
1641337200,31247.97,31249.82,31246.12,31130.04
1641340800,31131.34,31131.48,31131.19,31144.29
1641344400,31145.41,31145.58,31145.23,31156.53
1641348000,31156.90,31156.95,31156.86,31160.58
1641351600,31171.73,31173.03,31170.42,31283.20
1641355200,31279.32,31279.93,31278.72,31240.56
1641358800,31254.29,31256.27,31252.31,31391.58
1641362400,31376.85,31379.74,31373.97,31229.69
1641366000,31241.24,31242.71,31239.78,31356.79
1641369600,31342.97,31345.69,31340.26,31204.87
1641373200,31207.29,31207.68,31206.91,31231.51
1641376800,31239.87,31241.07,31238.67,31323.56
1641380400,31314.24,31315.93,31312.54,31220.98
1641384000,31212.56,31213.87,31211.26,31128.38
1641387600,31115.39,31117.12,31113.65,30985.51
1641391200,30998.85,31000.47,30997.23,31132.25
1641394800,31138.59,31139.51,31137.67,31201.97
1641398400,31189.44,31190.70,31188.17,31064.14
1641402000,31062.43,31062.76,31062.10,31045.34
1641405600,31040.18,31040.95,31039.42,30988.64
1641409200,30987.96,30988.06,30987.86,30981.15
1641412800,30984.60,30985.25,30983.95,31019.12
1641416400,31023.80,31024.71,31022.88,31070.61
1641420000,31063.08,31063.99,31062.16,30987.76
1641423600,30994.24,30995.24,30993.25,31059.09
1641427200,31074.60,31077.21,31071.98,31229.79
