date,close,open,high,low,volume,quote_volume,close_time,number_of_trades,taker_buy_volume,taker_buy_quote_volume
01/01/2025 00:00,93656.18000000,93576.00000000,93702.15000000,93489.03000000,175.85673000,16461794.00035600,01/01/2025 00:14,19788,63.20664000,5915901.62666110
01/01/2025 00:15,93761.90000000,93656.19000000,93898.05000000,93614.95000000,95.41749000,8948674.28711040,01/01/2025 00:29,20478,52.30851000,4905499.62377410
01/01/2025 00:30,93885.01000000,93761.90000000,93963.67000000,93761.89000000,94.36416000,8859841.13556760,01/01/2025 00:44,21825,61.58676000,5782319.27508920
01/01/2025 00:45,94401.14000000,93885.00000000,94509.42000000,93864.44000000,390.35172000,36798501.13642980,01/01/2025 00:59,31434,243.98128000,22993057.25440150
01/01/2025 01:00,94153.05000000,94401.13000000,94408.72000000,93880.00000000,284.57018000,26761444.83424790,01/01/2025 01:14,31418,148.47833000,13962750.05002080
01/01/2025 01:15,93825.86000000,94153.04000000,94153.05000000,93819.60000000,102.66232000,9640519.54268020,01/01/2025 01:29,15068,29.28462000,2750458.42828740
01/01/2025 01:30,93923.14000000,93825.86000000,93989.37000000,93825.86000000,78.97889000,7418445.44390710,01/01/2025 01:44,14018,41.58822000,3906291.55353320
01/01/2025 01:45,93607.74000000,93923.14000000,93945.25000000,93578.77000000,120.32317000,11276197.08576560,01/01/2025 01:59,19439,38.06906000,3568438.29402180
01/01/2025 02:00,93800.00000000,93607.74000000,93805.04000000,93594.56000000,104.71689000,9815653.60639260,01/01/2025 02:14,20595,74.62151000,6994807.61468770
01/01/2025 02:15,93742.52000000,93800.00000000,93805.16000000,93689.48000000,48.21903000,4519803.19862800,01/01/2025 02:29,10475,28.19412000,2642733.56865180
01/01/2025 02:30,93921.86000000,93742.51000000,93921.86000000,93742.51000000,39.83390000,3737782.39819000,01/01/2025 02:44,10519,26.84878000,2519287.45173710
01/01/2025 02:45,94098.91000000,93921.86000000,94105.12000000,93912.00000000,84.01063000,7900851.43259880,01/01/2025 02:59,13489,55.68763000,5236941.79717140
01/01/2025 03:00,93976.01000000,94098.90000000,94098.91000000,93959.89000000,65.06529000,6116167.16083680,01/01/2025 03:14,10559,33.53536000,3152313.54195490
01/01/2025 03:15,93830.89000000,93976.01000000,93976.01000000,93766.23000000,47.42318000,4450426.13448030,01/01/2025 03:29,10890,18.57933000,1743495.23092190
01/01/2025 03:30,93857.04000000,93830.90000000,93891.15000000,93800.00000000,67.83649000,6366426.90380230,01/01/2025 03:44,6247,44.61038000,4186896.83500440
01/01/2025 03:45,93838.04000000,93857.03000000,93867.35000000,93728.22000000,40.66806000,3815020.80728610,01/01/2025 03:59,7305,23.19633000,2175959.57481880
01/01/2025 04:00,93711.19000000,93838.04000000,93838.04000000,93689.96000000,87.46863000,8199872.76689660,01/01/2025 04:14,9604,58.56068000,5489683.49742720
01/01/2025 04:15,93738.09000000,93711.18000000,93771.99000000,93679.07000000,53.53604000,5016892.98452570,01/01/2025 04:29,9087,27.81982000,2606913.36907520
01/01/2025 04:30,93645.13000000,93738.09000000,93738.10000000,93616.82000000,45.89524000,4298717.89156280,01/01/2025 04:44,7425,20.79430000,1947577.23416840
01/01/2025 04:45,93553.91000000,93645.12000000,93670.00000000,93500.00000000,92.56918000,8663572.48216440,01/01/2025 04:59,12481,25.81067000,2416450.66411880
01/01/2025 05:00,93638.50000000,93553.91000000,93680.00000000,93547.40000000,44.42431000,4158687.13192480,01/01/2025 05:14,7627,20.10376000,1881849.25446710
01/01/2025 05:15,93891.74000000,93638.50000000,93933.33000000,93614.50000000,96.81147000,9075794.95174490,01/01/2025 05:29,11754,72.43038000,6790210.23128940
01/01/2025 05:30,93857.65000000,93891.74000000,93937.19000000,93799.25000000,44.47420000,4174433.80045080,01/01/2025 05:44,10091,18.83718000,1768068.51802780
01/01/2025 05:45,93792.02000000,93857.66000000,93862.11000000,93792.01000000,23.46942000,2201874.96819740,01/01/2025 05:59,4367,11.84686000,1111447.02440530
01/01/2025 06:00,93603.22000000,93792.02000000,93792.02000000,93603.21000000,48.12812000,4509958.85706110,01/01/2025 06:14,7892,14.42050000,1351256.80261580
01/01/2025 06:15,93654.50000000,93603.21000000,93701.39000000,93603.21000000,46.53256000,4358059.36334750,01/01/2025 06:29,6687,25.91134000,2426808.57494390
01/01/2025 06:30,93720.00000000,93654.50000000,93720.01000000,93568.38000000,134.37648000,12583390.16195330,01/01/2025 06:44,10043,96.65303000,9050951.09858810
01/01/2025 06:45,93757.58000000,93720.01000000,93757.58000000,93672.34000000,43.24130000,4052167.48492200,01/01/2025 06:59,5444,28.92076000,2710288.91650870
01/01/2025 07:00,93685.25000000,93757.57000000,93757.58000000,93664.08000000,29.27357000,2742759.17148610,01/01/2025 07:14,5654,12.38478000,1160309.09689890
01/01/2025 07:15,93786.03000000,93685.25000000,93786.04000000,93677.50000000,43.36678000,4064816.47537920,01/01/2025 07:29,6015,26.01846000,2438737.00953430
01/01/2025 07:30,93741.15000000,93786.03000000,93800.00000000,93727.27000000,37.98335000,3561671.14635060,01/01/2025 07:44,6342,15.74865000,1476688.54615760
01/01/2025 07:45,93684.10000000,93741.15000000,93767.76000000,93664.09000000,87.31088000,8182402.07189460,01/01/2025 07:59,4880,16.23756000,1521962.75993940
01/01/2025 08:00,93746.39000000,93684.11000000,93756.02000000,93677.44000000,72.04570000,6751815.90311060,01/01/2025 08:14,4795,40.47386000,3793054.98279580
01/01/2025 08:15,93416.41000000,93746.39000000,93746.40000000,93304.00000000,245.33070000,22944399.59302370,01/01/2025 08:29,17421,47.91925000,4479600.25963750
01/01/2025 08:30,93476.46000000,93416.41000000,93527.21000000,93400.00000000,79.27209000,7410358.59199880,01/01/2025 08:44,13211,31.33423000,2929211.66932930
01/01/2025 08:45,93428.46000000,93476.46000000,93547.83000000,93320.00000000,85.06324000,7948455.89421150,01/01/2025 08:59,16037,42.41101000,3962933.05687270
01/01/2025 09:00,93327.15000000,93428.47000000,93486.29000000,93217.93000000,114.48117000,10689060.37391790,01/01/2025 09:14,15479,59.21634000,5529374.84585090
01/01/2025 09:15,93141.91000000,93327.15000000,93327.15000000,92888.00000000,317.30535000,29537183.72536080,01/01/2025 09:29,39420,101.85187000,9483886.71638840
01/01/2025 09:30,93106.31000000,93141.91000000,93302.52000000,93001.00000000,230.12665000,21438007.95889870,01/01/2025 09:44,20993,150.71472000,14044405.03395420
01/01/2025 09:45,93413.06000000,93106.30000000,93446.48000000,93048.64000000,136.58456000,12745570.86086360,01/01/2025 09:59,17587,92.76818000,8657898.24784540
01/01/2025 10:00,93384.27000000,93413.07000000,93534.95000000,93357.67000000,83.96199000,7845704.58660000,01/01/2025 10:14,15738,28.22860000,2638140.92958660
01/01/2025 10:15,93410.25000000,93384.26000000,93536.75000000,93384.26000000,54.91381000,5133077.92950990,01/01/2025 10:29,10023,29.13064000,2723031.58880830
01/01/2025 10:30,93397.96000000,93410.25000000,93509.74000000,93284.00000000,65.35825000,6104772.90437360,01/01/2025 10:44,14429,32.15336000,3003396.28840510
01/01/2025 10:45,93326.23000000,93397.96000000,93416.64000000,93292.50000000,61.31787000,5723479.24533140,01/01/2025 10:59,9123,29.35029000,2739418.86449100
01/01/2025 11:00,93331.58000000,93326.24000000,93376.63000000,93200.00000000,76.38624000,7127047.01422630,01/01/2025 11:14,15239,35.55305000,3317105.25165700
01/01/2025 11:15,93485.88000000,93331.58000000,93485.88000000,93331.57000000,83.55395000,7805000.62083960,01/01/2025 11:29,13591,56.85607000,5311027.48982670
01/01/2025 11:30,93593.24000000,93485.88000000,93605.82000000,93402.00000000,72.79136000,6806592.59418220,01/01/2025 11:44,12821,43.77333000,4093743.64116880
01/01/2025 11:45,93444.64000000,93593.24000000,93705.08000000,93443.99000000,88.99070000,8325724.90633450,01/01/2025 11:59,16491,50.73261000,4746965.80496260
01/01/2025 12:00,93451.38000000,93444.65000000,93511.37000000,93407.07000000,66.75439000,6238587.71855470,01/01/2025 12:14,9283,33.66364000,3145923.35229070
01/01/2025 12:15,93888.31000000,93451.37000000,93972.00000000,93451.37000000,267.96280000,25116752.88233960,01/01/2025 12:29,26453,213.35115000,19997155.22486520
01/01/2025 12:30,93782.50000000,93888.30000000,93909.10000000,93768.00000000,112.23963000,10533227.40903250,01/01/2025 12:44,13164,70.57933000,6623653.25243200
01/01/2025 12:45,93820.76000000,93782.51000000,93843.99000000,93700.73000000,52.39931000,4912879.57176900,01/01/2025 12:59,10028,24.77088000,2322509.90483010
01/01/2025 13:00,93658.13000000,93820.75000000,93900.00000000,93647.84000000,83.33649000,7815798.91513510,01/01/2025 13:14,18916,39.96545000,3748655.21420140
01/01/2025 13:15,93729.30000000,93658.13000000,93792.69000000,93600.28000000,79.06472000,7406955.81859900,01/01/2025 13:29,16025,38.40835000,3598389.73655900
01/01/2025 13:30,93776.51000000,93729.30000000,93888.98000000,93724.00000000,60.25170000,5652028.09997270,01/01/2025 13:44,14243,29.08274000,2727954.61389590
01/01/2025 13:45,94031.76000000,93776.51000000,94058.79000000,93760.00000000,117.71096000,11056576.86793090,01/01/2025 13:59,15295,89.98785000,8453035.95911050
01/01/2025 14:00,94245.19000000,94031.77000000,94450.85000000,94028.54000000,249.57315000,23526112.77804810,01/01/2025 14:14,39126,167.33388000,15771484.90199320
01/01/2025 14:15,93919.99000000,94245.18000000,94295.85000000,93883.66000000,156.61247000,14742624.08041290,01/01/2025 14:29,26177,71.88279000,6766575.25152120
01/01/2025 14:30,93976.51000000,93919.99000000,94140.00000000,93671.48000000,202.98460000,19066643.37750540,01/01/2025 14:44,34880,99.21911000,9320456.64766970
